,DBA Name,Zip,n_failed,n_pwc,n_inspections,n_passed,most_recent_inspection,Chains,recent_pass,recent_pwc,recent_fail
4184,la colombe,60622.0,0,1,4,3,2019-11-13,2,1.0,0.0,0.0
4185,la colombe torrefaction,60611.0,0,0,2,1,2019-06-26,2,1.0,0.0,0.0
4186,la colombe torrefaction,60640.0,0,0,3,3,2019-11-25,2,0.0,1.0,0.0
4187,"la colombe torrefaction,inc.",60614.0,0,0,2,2,2018-08-29,1,0.0,1.0,0.0
4188,la condesa,60622.0,7,3,18,8,2019-06-25,1,0.0,1.0,0.0
4189,la costa,60634.0,0,2,6,2,2020-01-21,1,0.0,1.0,0.0
4190,la costena ice cream shop corp.,60632.0,0,0,2,2,2019-12-20,1,0.0,1.0,0.0
4192,la cuchara,60607.0,0,0,0,0,2013-03-26,1,1.0,0.0,0.0
4193,la delicia michoacana,60632.0,0,0,2,2,2019-12-10,1,0.0,1.0,0.0
4194,la delicia michocana,60629.0,0,0,1,0,2019-09-05,1,0.0,1.0,0.0
4195,la encantada restaurant and catering,60647.0,1,0,1,0,2019-08-26,1,0.0,1.0,0.0
4196,la esperanza restaurant,60608.0,0,2,2,0,2019-09-05,1,1.0,0.0,0.0
4197,la esquina cubana,60647.0,0,0,0,0,2012-02-28,1,0.0,1.0,0.0
4198,la esquina del sabor inc.,60623.0,0,1,1,0,2019-05-03,1,0.0,1.0,0.0
4199,la fiesta,60632.0,0,1,3,1,2019-08-26,1,0.0,1.0,0.0
4200,la fiesta bakery,60629.0,1,1,13,11,2019-07-16,1,1.0,0.0,0.0
4201,la fiesta restaurant,60655.0,1,1,10,8,2019-04-11,1,1.0,0.0,0.0
4202,la flor de acapulco inc,60639.0,5,1,14,8,2019-05-09,1,0.0,1.0,0.0
4203,la flor de mexico restarant,60608.0,0,1,13,6,2019-04-10,1,0.0,1.0,0.0
4204,la fogata,60629.0,2,0,10,7,2019-07-22,1,0.0,1.0,0.0
4205,la fogata nueva restaurant,60625.0,4,2,15,9,2019-12-16,1,0.0,1.0,0.0
